defect_words_unique,design_words_unique,test_words_unique,documentation_words_unique,implementation_words_unique,other_words_unique,common_words
,,,,,.\nchange,
,,,,,1963,
,,,,,19-nov-2002,
,,,,,latin,
,,,,,regenerate,
,,,,,'roots,
,,,,,hydrate,
,,,,,valle,
,,,,,rmtype,
,,,,,sqlval.dbms=dbms,
,,,,,showrecentdirmenuitem,
,,,,,topmost,
,,,,,hibernateconfigpanel.configuirationdef=configuration,
,,,,,b_rmonth,
,,,,,_exportprefschk.isselected,
,,,,,netbeansduplicatelineaction,
,,,,,25a0,
,,,,,svg,
,,,,,updatemaxhorizontalscrollwidth,
,,,,,net.sourceforge.squirrel_sql.client.util.ioptionpanel,
,,,,,afresh,
,,,,,drawingsupplier,
,,,,,postgresplugin.showviewsource=show,
,,,,,typeconverterimpl,
,,,,,setdomainaxislocation,
,,,,,1448,
,,,,,isqlentrypanel,
,,,,,org.argouml.model.scopekind,
,,,,,org.argouml.cognitive.checklist.checkitem,
,,,,,723,
,,,,,auto-gen,
,,,,,javax.swing.jcheckbox,
,,,,,xalan,
,,,,,firstrow,
,,,,,stl.totimelinevalue,
,,,,,textashape.type_singe_line_rot_ccw,
,,,,,1093,
,,,,,ak,
,,,,,datasetviewereditabletablepanel.selectionneeded=you,
,,,,,mimac,
,,,,,maininterface.addressbookinterface,
,,,,,decoy,
,,,,,dbnamedialectmap.put,
,,,,,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,
,,,,,1000,
,,,,,getextendedstate,
,,,,,browserview,
,,,,,editwherecolspanel.notusecolumns=not,
,,,,,build.xml,
,,,,,assertionerror,
,,,,,comparable,
,,,,,candlewidth,
,,,,,/email,
,,,,,logpanel.titleerror=last,
,,,,,titledborderlabel,
,,,,,aspell,
,,,,,handle.stringvalue,
,,,,,~~~~~~~~~~~~~~~,
,,,,,focusmanager.getinstance,
,,,,,ordinary,
,,,,,_m-1,
,,,,,closes,
,,,,,faff,
,,,,,.getcurrentcontext,
,,,,,'tr,
,,,,,exclusive,
,,,,,fileeditordroptargetlistener.onefiledropmessage=only,
,,,,,button/menu,
,,,,,foreignkeys.istransient,
,,,,,etypeparameterindex,
,,,,,j+1,
,,,,,testargumentcreation,
,,,,,\nthe,
,,,,,enable=,
,,,,,pkcolumns,
,,,,,org.argouml.model.statemachineshelper,
,,,,,outversion,
,,,,,visitldcinsn,
,,,,,_showlinenumbers,
,,,,,dialect3,
,,,,,4.5.2.26,
,,,,,urlmap,
,,,,,curquery,
,,,,,stereolineblinder,
,,,,,1722,
,,,,,pattern.length,
,,,,,firsttoken,
,,,,,helpviewerwindow.error.congen=error,
,,,,,mappinghelperimpl,
,,,,,createcolumndefinitions,
,,,,,userinput,
,,,,,primitive_type_map,
,,,,,generateschemaaction,
,,,,,cursor++,
,,,,,storage_parameter,
,,,,,system.getproperty,
,,,,,majorversion,
,,,,,hibernateproxy.class,
,,,,,rotatedtexticon,
,,,,,getcontroltextfont,
,,,,,autodetection,
,,,,,epackages,
,,,,,1.getvalue,
,,,,,reordered,
,,,,,column1,
,,,,,org.argouml.kernel,
,,,,,getsequential,
,,,,,tudresden.ocl.check.types.type2,
,,,,,m,
,,,,,a.allconnections-,
,,,,,not-found=,
,,,,,densely,
,,,,,1603937,
,,,,,checkinfile,
,,,,,singeton,
,,,,,com.apple.eawt.application,
,,,,,line-comment,
,,,,,login,
,,,,,isperformingio,
,,,,,domainmin,
,,,,,e.gc,
,,,,,cursor/caret,
,,,,,exception-throwing,
,,,,,getpresencemode,
,,,,,addpluginjarsfromdirectory,
,,,,,mmsql.catalogerr=the,
,,,,,externalids,
,,,,,menues,
,,,,,shifted,
,,,,,getelectricscroll,
,,,,,dateareabean.setactivitydepositorycontext,
,,,,,ejbjar,
,,,,,_target,
,,,,,array-of-interface-type,
,,,,,invokeaction,
,,,,,getfirstfile,
,,,,,1359,
,,,,,rangeaxislocations,
,,,,,utf-16,
,,,,,=a,
,,,,,getcolumnname,
,,,,,oracle.displaysessionstatistics=display,
,,,,,harm,
,,,,,pop3-before-smtp,
,,,,,getmenuname,
,,,,,getcommonbehaviorfactory,
,,,,,7.3.2,
,,,,,valueof,
,,,,,/messageviewer,
,,,,,incl,
,,,,,sqlexceptionconverter,
,,,,,882890,
,,,,,column=,
,,,,,/html,
,,,,,addmethod,
,,,,,beanshellaction,
,,,,,this.cssjquerylabeledchoice.settext,
,,,,,mssql.foematting=formatting,
,,,,,notifylisteners,
,,,,,removebrowserlistener,
,,,,,skels,
,,,,,getfactory,
,,,,,supportssubqueriesincomparisons,
,,,,,fn,
,,,,,org.apache.http.conn.ssl.sslsocketfactory,
,,,,,38,
,,,,,ruby_hybrid,
,,,,,non-void,
,,,,,controller.getsortdecorator,
,,,,,633,
,,,,,partially,
,,,,,caretautoscroll,
,,,,,aliasinternalframe.illegalvalue=illegal,
,,,,,columnupdateability.length==0,
,,,,,treecontroller.getview,
,,,,,popupeditableiopanel.errwhileexecutin=error,
,,,,,gethint,
,,,,,media,
,,,,,02-feb-94,
,,,,,clearexpansionstate,
,,,,,extendz,
,,,,,jmetertoolbar,
,,,,,fetchflagsliststartfrom,
,,,,,createtoolbar,
,,,,,services.bio.ifi.lmu.de:1046/prothesaurus/services/biologicalnameservice,
,,,,,messagefolderinfo,
,,,,,getusecasesfactory,
,,,,,sybaseaseplugin.showviewsource=show,
,,,,,setternames,
,,,,,cbfieldnameactionperformed,
,,,,,i18n.nofilesopened=no,
,,,,,jcombobox,
,,,,,aset,
,,,,,c1,
,,,,,piggyback,
,,,,,property/field,
,,,,,setmaximumprogress,
,,,,,non-http,
,,,,,1470,
,,,,,email_edit.png,
,,,,,getwarningcount,
,,,,,lefttoken,
,,,,,classlocations,
,,,,,loadpositions,
,,,,,itemlabelgeneratorlist,
,,,,,listrenderer,
,,,,,single-valued,
,,,,,popupeditableiopanel.import44=import,
,,,,,man.get,
,,,,,actiondelegate,
,,,,,cont.settarget,
,,,,,_keyword3style,
,,,,,class/getgenfeature.annotations.insert.javajetinc,
,,,,,last_value,
,,,,,23-apr-2002,
,,,,,shouldbeenabled,
,,,,,pleasewaitdialog.cancel=cancel,
,,,,,_content,
,,,,,swt.color_title_foreground,
,,,,,borderwidth,
,,,,,communication,
,,,,,scaledrange,
,,,,,trimtrailingblanks,
,,,,,reconnect,
,,,,,runmacro,
,,,,,clarifier,
,,,,,imtextfield4,
,,,,,resulttab.limitmessage=limited,
,,,,,versioned,
,,,,,keyed,
,,,,,delimited,
,,,,,borderlayout.center,
,,,,,style.getbackgroundcolor,
,,,,,reappear,
,,,,,ommit,
,,,,,data.iterator,
,,,,,.endcompoundedit,
,,,,,faq,
,,,,,component_reference.xml,
,,,,,onceonly,
,,,,,hat,
,,,,,tab.constraints,
,,,,,grid.add,
,,,,,controls,
,,,,,main=,
,,,,,columnscount,
,,,,,xmltokentablebase,
,,,,,319f,
,,,,,version=539,
,,,,,iv|encrypted,
,,,,,11,
,,,,,pro0perly,
,,,,,isearchprovider,
,,,,,mousehandler,
,,,,,loadmessagefolderinfo,
,,,,,ioe.printstacktrace,
,,,,,nclob,
,,,,,createstackedareachart,
,,,,,incrementvalue,
,,,,,hibernateattribuitedataset.dbtablename=database,
,,,,,s4.1,
,,,,,jee/jta,
,,,,,prevrevision,
,,,,,defn,
,,,,,do_nothing_on_close,
,,,,,\____,
,,,,,gettransferdata,
,,,,,key_pressed,
,,,,,g.filloval,
,,,,,|t|h|r|e|e|,
,,,,,setlabel,
,,,,,bootclasspath,
,,,,,'browser,
,,,,,image3,
,,,,,stringproperty,
,,,,,.getactivelayer,
,,,,,firstticklabelsvisible,
,,,,,pathtoelement,
,,,,,directly-mapped,
,,,,,supertranslate,
,,,,,getestructuralfeature,
,,,,,mbclen_invalid_p,
,,,,,addkeyword,
,,,,,file.encoding,
,,,,,xmlreformatter.yes=yes,
,,,,,modelobject,
,,,,,bins.length,
,,,,,3x3,
,,,,,orderbyclausepanel.orderbyclauselabel=order,
,,,,,mayb,
,,,,,softrefs,
,,,,,tableexportcsvcontroller.replacefile=the,
,,,,,removelast,
,,,,,freq=monthly,
,,,,,hibernatetabpanel.configuration=configuration,
,,,,,graph.scriptalltables=script,
,,,,,17.5,
,,,,,getcolumnlength,
,,,,,backslash,
,,,,,verbose,
,,,,,duplicatelineaction,
,,,,,org.argouml.profile.profile,
,,,,,getcontrolpanel,
,,,,,.setname,
,,,,,xmlserialize,
,,,,,addelementlistener,
,,,,,this.toolbar,
,,,,,warnings,
,,,,,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,
,,,,,transaction-timeout,
,,,,,colector,
,,,,,tokenzie,
,,,,,sun_path,
,,,,,transitions,
,,,,,java.util.comparator,
,,,,,promotion,
,,,,,columnpriviligestab.title=column,
,,,,,getquery,
,,,,,parsestyle,
,,,,,changelist,
,,,,,re-assemble,
,,,,,resource.,
,,,,,popupeditableiopanel.showascii=show,
,,,,,javabeandataset.value=value,
,,,,,popupeditableiopanel.exporterror=export,
,,,,,isqlexecutionlistener,
,,,,,expert,
,,,,,org.eclipse.ui.iactiondelegate,
,,,,,shadowborder,
,,,,,declaringnamespace,
,,,,,xpathextractorgui,
,,,,,displaymanager,
,,,,,defineddimensions,
,,,,,capitalize,
,,,,,bsfmanager,
,,,,,syntax.prefuseplain=use,
,,,,,hibernatesqlpanel.sql=sql,
,,,,,action_move,
,,,,,109f,
,,,,,diagnostician,
,,,,,updatepreferencespanel.localpathlabel=local,
,,,,,.getsystemcolor,
,,,,,.ownedelement-,
,,,,,right-side,
,,,,,createboxandwhiskerchart,
,,,,,mssql.allsps=all,
,,,,,31a0,
,,,,,-pbranch,
,,,,,lbfields,
,,,,,filesactivated,
,,,,,throughput.addactionlistener,
,,,,,st.settimestamp,
,,,,,argspushnode,
,,,,,textfield.gettext,
,,,,,autenthenticated,
,,,,,1fff,
,,,,,columnstab.title=columns,
,,,,,fa_xxx,
,,,,,antialiasing,
,,,,,\c-x,
,,,,,setobservable,
,,,,,linefeed,
,,,,,beep,
,,,,,-overwrite,
,,,,,supportsschemasinprocedurecalls,
,,,,,membernamecheck,
,,,,,editor\n,
,,,,,loaddockablewindows,
,,,,,write_operation_number_of_servers,
,,,,,classpersisters,
,,,,,1445,
,,,,,mpane,
,,,,,887,
,,,,,reply_small.png,
,,,,,subj,
,,,,,non-inverse,
,,,,,209f,
,,,,,connectaction,
,,,,,inbox-folder,
,,,,,sjis,
,,,,,updateeverytime,
,,,,,item1,
,,,,,add16,
,,,,,4e00,
,,,,,2809117,
,,,,,official,
,,,,,matchcombobox.additem,
,,,,,bowman,
,,,,,getapplicabletagdefinitions,
,,,,,isreadonly,
,,,,,.createemptyborder,
,,,,,ungetc,
,,,,,datasetupdateabletablemodelimpl.error.exceptionduringcheck=exception,
,,,,,x|y|z,
,,,,,uninstantiable,
,,,,,lastsuffix,
,,,,,needle,
,,,,,i-periodcount,
,,,,,augment,
,,,,,getsaveconfig,
,,,,,savemessage,
,,,,,setbackground,
,,,,,deployment,
,,,,,jmeterkeystore,
,,,,,451,
,,,,,setuptabbedpane,
,,,,,notationutilityuml,
,,,,,123456,
,,,,,hhh-440,
,,,,,1270,
,,,,,getfoo,
,,,,,getschemaname,
,,,,,txtimestamp,
,,,,,multitables,
,,,,,03-dec-2003,
,,,,,irler,
,,,,,datacache.msg.driverclassnotfound=could,
,,,,,importdataintotableexecutor.importingdatainto=importing,
,,,,,menuentries,
,,,,,sunny,
,,,,,filepath,
,,,,,biginteger,
,,,,,457,
,,,,,8031,
,,,,,.setlayout,
,,,,,getfont,
,,,,,-run=,
,,,,,sqlgenerator,
,,,,,getdrivername,
,,,,,popupeditableiopanel.fileopenerrorheader=file,
,,,,,projecthelper,
,,,,,i18n.generatetemplatecomments=generate,
,,,,,residing,
,,,,,wider,
,,,,,standards,
,,,,,net.sourceforge.squirrel_sql.plugins.dbcopy.dialects.hibernatedialect,
,,,,,subpattern,
,,,,,graphaccumvisualizer,
,,,,,_lis,
,,,,,editting,
,,,,,oracle.sgatitle=oracle,
,,,,,system.err.println,
,,,,,netprotocolbufferediolibrary,
,,,,,popupeditableiopanel.errorwritingfile=there,
,,,,,1213,
,,,,,fd.getfieldname,
,,,,,dummy2,
,,,,,this.componenttuplizerfactory,
,,,,,existed,
,,,,,prompted,
,,,,,label_no_separator,
,,,,,mailframemediator,
,,,,,1395,
,,,,,_sqldriverprops,
,,,,,docs-only,
,,,,,validatesetup,
,,,,,listentotest,
,,,,,stereotypefigprofileicon,
,,,,,pgmlstackparser.attachedges,
,,,,,hgd,
,,,,,javax.swing.abstractaction,
,,,,,865589,
,,,,,slash,
,,,,,pop-up,
,,,,,removetreenodeaction,
,,,,,supertypes,
,,,,,plugininfobox,
,,,,,toobject,
,,,,,a490,
,,,,,crud,
,,,,,dualprogressbardialog.cancelbuttonlabel=cancel,
,,,,,plastic,
,,,,,-encoding,
,,,,,createfieldpanel,
,,,,,fjava2ianamap.put,
,,,,,3ccaogo0vz0z3gmbfsq_gsb,
,,,,,evalerror,
,,,,,workcountrylabel,
,,,,,getdockables,
,,,,,rerun,
,,,,,activate,
,,,,,dist,
,,,,,upperbound,
,,,,,preferencespanel.statementseparatorlabel=statement,
,,,,,buttonupdateactionperformed,
,,,,,.getstructuralfeature,
,,,,,teststarted/testended,
,,,,,getextension,
,,,,,projectname,
,,,,,printout,
,,,,,destination-folder,
,,,,,jmh,
,,,,,75dlu,
,,,,,allfields,
,,,,,gettickmarkstroke,
,,,,,extraneous,
,,,,,getfeature,
,,,,,sqlfiltersheet.closebuttonlabel=close,
,,,,,setvalues,
,,,,,performsplit,
,,,,,com.jrefinery.chart.plot,
,,,,,calc,
,,,,,isvalidname,
,,,,,f2.canwrite,
,,,,,rb_cstr_to_dbl,
,,,,,la,
,,,,,application.error.loaddatatypeprops=unable,
,,,,,tha,
,,,,,determination,
,,,,,dbms,
,,,,,diagnostics,
,,,,,canned,
,,,,,mainfont,
,,,,,selection/focus,
,,,,,ff00,
,,,,,usecaseinstance,
,,,,,_hdgs,
,,,,,cachevalue,
,,,,,childgendmelements,
,,,,,getunderlyingfig,
,,,,,extensionlist,
,,,,,finer-grained,
,,,,,org.argouml.uml.ui.behavior.state_machines.actionnewevent,
,,,,,initresources,
,,,,,buildfile,
,,,,,internedname,
,,,,,threadstarter,
,,,,,loadschemas,
,,,,,proxool,
,,,,,file-type,
,,,,,supertable,
,,,,,globaloptions,
,,,,,dynamic-class,
,,,,,basedatasetviewerdestination.warning2=warning,
,,,,,adjusts,
,,,,,as-yet,
,,,,,'noargblock,
,,,,,org.argouml.uml.reveng.settingstypes.uniqueselection,
,,,,,db-objectname,
,,,,,huffman,
,,,,,'libc.so,
,,,,,application.splash.loadsqlhistory=loading,
,,,,,net.sourceforge.squirrel_sql.fw.sql.iquerytokenizer,
,,,,,updatesize,
,,,,,systemcallerrors,
,,,,,sqlscript.tablescriptok=ok,
,,,,,dstore_0,
,,,,,plot1,
,,,,,seamless,
,,,,,filing,
,,,,,spelling,
,,,,,coordinate.,
,,,,,classifierroles,
,,,,,setflag,
,,,,,recenthandler,
,,,,,minimumlayoutsize,
,,,,,handlestarttag,
,,,,,getactionnames,
,,,,,_coldef.getsqltype,
,,,,,optargs,
,,,,,ss.exe,
,,,,,actionopenproject,
,,,,,getactioncontext,
,,,,,markkeyword,
,,,,,sqlexecutioninfo,
,,,,,mirrored,
,,,,,myfile.txt,
,,,,,lastname,
,,,,,category,
,,,,,taskthreadpool,
,,,,,tudresden.ocl.parser.node.aletexpression,
,,,,,offsettoxy,
,,,,,getcharwidth,
,,,,,datatypebigdecimal.newlinesasbackslashn=show,
,,,,,jdbcurl,
,,,,,srcfile,
,,,,,non-comparable,
,,,,,settings.setcomponenttuplizerfactory,
,,,,,money,
,,,,,iviewernotification,
,,,,,tudresden.ocl.parser.node.amultiplicativeexpressiontail,
,,,,,/core,
,,,,,8.4.1,
,,,,,getdirection,
,,,,,focusonfileview,
,,,,,accented,
,,,,,entering,
,,,,,miscellaneous,
,,,,,touch,
,,,,,event.getdtstamp,
,,,,,rehash,
,,,,,iso_8859_1,
,,,,,datetypetimestamp.typetimestamp=timestamp,
,,,,,podalyuk,
,,,,,wrappered,
,,,,,builder.setdefaultdialogborder,
,,,,,subpatterns,
,,,,,unsightly,
,,,,,augmented,
,,,,,favorite,
,,,,,closeallbuffers,
,,,,,jtextpane,
,,,,,recomputes,
,,,,,1023,
,,,,,transactionmanager,
,,,,,extraction,
,,,,,create_index_statement,
,,,,,headeritem,
,,,,,unmarked,
,,,,,getfolder,
,,,,,editaction,
,,,,,==================================================\n,
,,,,,createcopycommand.class,
,,,,,labellinkstyle,
,,,,,quid,
,,,,,getscalarcolumnaliases,
,,,,,propertysets,
,,,,,634,
,,,,,sql_token,
,,,,,buf,
,,,,,getcursor,
,,,,,/summary,
,,,,,java.awt.datatransfer.dataflavor,
,,,,,fetchuids,
,,,,,isnullallowable,
,,,,,rpn,
,,,,,maximizeaction,
,,,,,umlcombobox,
,,,,,hotspot,
,,,,,.class,
,,,,,substract,
,,,,,leftjustifybutton,
,,,,,cleanly,
,,,,,postdelete,
,,,,,updatesummarytable.allpluginslabel=all,
,,,,,icontainer,
,,,,,atomicity,
,,,,,mid,
,,,,,addsuperinterface,
,,,,,getvfss,
,,,,,prefs.getexportdrivers,
,,,,,25493,
,,,,,importfiledialog.suggestcolumns=suggest,
,,,,,sqlresultexecuterpanel.rowsselected=,
,,,,,getstructurematch,
,,,,,log4j,
,,,,,newroots,
,,,,,canwrite,
,,,,,loadtestvar,
,,,,,jcreate,
,,,,,occured,
,,,,,.setasksallowschildren,
,,,,,reportmenu,
,,,,,getbufferswitcher,
,,,,,deletedirectory,
,,,,,asyncsample,
,,,,,1996,
,,,,,cascade_delete,
,,,,,eobjecttochangesmapentryimpl,
,,,,,mofids,
,,,,,loginlabel,
,,,,,setrenderers,
,,,,,d.oclistypeof,
,,,,,copydirtest,
,,,,,threads_allowed_to_block_multiplier,
,,,,,secondly,
,,,,,cssjqueryfield.settext,
,,,,,accountname,
,,,,,todobyoffender,
,,,,,cvar,
,,,,,viewlogssheet.error.processinglogfile=error,
,,,,,itemprovider/newchilddescriptorsreferencedelegatedfeature.override.javajetinc,
,,,,,rb_str_cmp_m,
,,,,,subprofiles,
,,,,,/sandbox/unpackage1-3.1m7/eclipse/plugins/org.eclipse.emf.common.jar,
,,,,,refinery,
,,,,,.getdialogtitle,
,,,,,links,
,,,,,make_tmpname,
,,,,,basedatasetviewerdestination.warning=warning,
,,,,,tridiagonal,
,,,,,dtds,
,,,,,contrary,
,,,,,artifactxmlbean,
,,,,,needes,
,,,,,taskbutton.setborder,
,,,,,i18n.cancel,
,,,,,sub-queries,
,,,,,fstore_1,
,,,,,optimum,
,,,,,doables,
,,,,,inbox,
,,,,,datatypeclob.typeclob=clob,
,,,,,mailervisualizer,
,,,,,subtests,
,,,,,mysql.structure=structure,
,,,,,basesectionoutlinestroke,
,,,,,te,
,,,,,out/err,
,,,,,systembar.setbackground,
,,,,,funny,
,,,,,this.setpreferredsize,
,,,,,topborderpanel,
,,,,,tudresden.ocl.check.types.modelfacade,
,,,,,boot,
,,,,,from-element,
,,,,,simplifying,
,,,,,supportsschemasintabledefinitions,
,,,,,poststartups,
,,,,,1620,
,,,,,system.err.print,
,,,,,cachedasciiuri,
,,,,,addmacro,
,,,,,agree,
,,,,,iruby,
,,,,,i+1,
,,,,,javax.swing.tree.treecellrenderer,
,,,,,org.columba.core.filter.filter,
,,,,,name3,
,,,,,optimised,
,,,,,954,
,,,,,xybarpainter,
,,,,,entity-names,
,,,,,defineorgetmoduleunder,
,,,,,getdatatypeshelper,
,,,,,typereturn.getcolumnalias,
,,,,,nofunctionalitysignalfacade,
,,,,,teststatelistener.testended,
,,,,,setdestcopysession,
,,,,,gridbagconstraints3,
,,,,,_propertypanel,
,,,,,user-configured,
,,,,,seticon,
,,,,,nullproperty,
,,,,,showscopesettings,
,,,,,/get,
,,,,,numeric.equal,
,,,,,rootpanecontainer,
,,,,,helpviewerwindow.error.loadpluginsettings=error,
,,,,,dumpapplicationcommand.error.combiningtempfiles=error,
,,,,,unusual,
,,,,,4.6.2.5,
,,,,,tableexportcsvdlg.exporttitlenew=csv,
,,,,,separator=\,
,,,,,.gettables,
,,,,,generalpreferencespanel.paths=squirrel,
,,,,,mbox,
,,,,,0eff,
,,,,,x/y,
,,,,,xmi.header,
,,,,,zhi,
,,,,,root-class,
,,,,,pop3s,
,,,,,writeunlock,
,,,,,metaprofile,
,,,,,ecore2xmlfactoryimpl,
,,,,,istructuretype,
,,,,,1.4.1_02,
,,,,,testlog.setpriority,
,,,,,elementordering,
,,,,,copys,
,,,,,this.getdomain,
,,,,,msg_verbose,
,,,,,jrubyserver,
,,,,,getmetatypes,
,,,,,fetchuid,
,,,,,05-nov-2002,
,,,,,mail-new.png,
,,,,,stray,
,,,,,sqlresultexecuterpanel.exec=executing,
,,,,,1164,
,,,,,four-character,
,,,,,acsii,
,,,,,antclassloader,
,,,,,consequently,
,,,,,refute,
,,,,,bg_green,
,,,,,simplelistmodel,
,,,,,cachecount++,
,,,,,setfirstinvalidfoldlevel,
,,,,,command-specific,
,,,,,urluencoded,
,,,,,exitaftertest,
,,,,,magnitude,
,,,,,istreeonly,
,,,,,commandlinejava,
,,,,,heading,
,,,,,1605207,
,,,,,20-nov-2002,
,,,,,10yyyyyy,
,,,,,retuns,
,,,,,getpreferredsize,
,,,,,supportspositionedupdate,
,,,,,valiasnode,
,,,,,classloader.getsystemclassloader,
,,,,,ifcontrollergroup,
,,,,,'tool,
,,,,,3421,
,,,,,eclasses,
,,,,,settings.setformatsqlenabled,
,,,,,io.available,
,,,,,typeattribute,
,,,,,laf.menus=menus,
,,,,,mysqlplugin.showtriggersource=show,
,,,,,explorermouselistener,
,,,,,tudresden.ocl.parser.node.apostfixexpressiontail,
,,,,,rollback-only,
,,,,,titlelabel.setforeground,
,,,,,shenanigan,
,,,,,col1,
,,,,,net.javaprog.ui.wizard.step,
,,,,,getaggregate,
,,,,,buddylist,
,,,,,1008,
,,,,,deleteonexit,
,,,,,java_method,
,,,,,/org/objectweb/fooappli/foo/foo.xml,
,,,,,setimportedkeys,
,,,,,getpresentationpackagename,
,,,,,getstringproperty,
,,,,,quaqua,
,,,,,node1,
,,,,,.setreorderingallowed,
,,,,,loaders,
,,,,,backupsettingsfile,
,,,,,tableexportcsvdlg.usedefaultformating=use,
,,,,,tcpsampler.close_connection,
,,,,,replicate,
,,,,,arabic,
,,,,,filecellrenderer,
,,,,,mockgenericdialectdbmetadata,
,,,,,getdot,
,,,,,plaintext,
,,,,,suppresses,
,,,,,fillpainttransformer,
,,,,,tablemodelclasschecks,
,,,,,02b0,
,,,,,updatebuddypresence,
,,,,,\r\r\n,
,,,,,org.columba.core.filter.filterrule,
,,,,,listfull_i,
,,,,,checklist,
,,,,,eplicit,
,,,,,getdropindexsql,
,,,,,javax.swing.jtable,
,,,,,collpersister.getkeycolumnnames,
,,,,,mouseevent,
,,,,,codecompletion.udfwithoutparams=user,
,,,,,getidentifiertype,
,,,,,tempvariableindex,
,,,,,uppaint,
,,,,,.removenonexist,
,,,,,2700,
,,,,,talking,
,,,,,getheader,
,,,,,mod:2004629,
,,,,,figcompositestate,
,,,,,platform/version-dependent,
,,,,,dropmode.on,
,,,,,titlepaint,
,,,,,erawtype,
,,,,,backgroundpaint,
,,,,,javasamplerclient.getdefaultparameters,
,,,,,bundle,
,,,,,codecompletion.prefs.table.col.config=configuration,
,,,,,perspectivehandler,
,,,,,.length,
,,,,,zipextrafield,
,,,,,bugs.eclipse.org/bugs/show_bug.cgi,
,,,,,frame.getfile,
,,,,,testcode,
,,,,,afford,
,,,,,getsettings,
,,,,,cedilla,
,,,,,gujarati,
,,,,,oops,
,,,,,formatparagraph,
,,,,,userscript.scriptadminerr=err,
,,,,,multipart/alternative,
,,,,,-replace,
,,,,,dumpapplicationcommand.title.sessiondump=session,
,,,,,unframed,
,,,,,managersinuse,
,,,,,registerfoldhandler,
,,,,,rob,
,,,,,mustrefresh,
,,,,,xmltype,
,,,,,4-specific,
,,,,,mailboxstatus,
,,,,,pt.x,
,,,,,modern,
,,,,,iso-8859-7,
,,,,,oracle.displaytriggercolumns=display,
,,,,,no_action,
,,,,,tffieldlength,
,,,,,multi-cookie,
,,,,,above,
,,,,,_exportdriverstext.seteditable,
,,,,,doneindexlast,
,,,,,completes,
,,,,,uuid.hex,
,,,,,mysql.defaultvalue=default,
,,,,,tableexportcsvdlg.exportselection=export,
,,,,,testelementsaver,
,,,,,.settext,
,,,,,syntax.textlimitlinewidth=text,
,,,,,616,
,,,,,localhost:8080/test.wsdl,
,,,,,.getkey,
,,,,,dbcopypluginresources,
,,,,,reflectively,
,,,,,.getrelationship,
,,,,,operates,
,,,,,actionbuttons,
,,,,,org.tigris.swidgets.orientable,
,,,,,datasetviewereditabletablepanel.warning=warning,
,,,,,serialisation/deserialisation,
,,,,,imainframe,
,,,,,crtoomanyassoc,
,,,,,isdosderived,
,,,,,behavioral,
,,,,,createpanel,
,,,,,+/-,
,,,,,821,
,,,,,preferencespanel.transferoptionsborderlabel=transfer,
,,,,,6b,
,,,,,mongo,
,,,,,b_lyear.setopaque,
,,,,,ndata,
,,,,,privileges,
,,,,,treenode,
,,,,,user-friendly,
,,,,,removeviewfromlist,
,,,,,handlefeature,
,,,,,updatable,
,,,,,rightbuttonvector.get,
,,,,,dirname,
,,,,,f8ff,
,,,,,designated,
,,,,,02-oct-2002,
,,,,,550,
,,,,,newfolder.getpath,
,,,,,org.eclipse.emf.ecore.ecorepackage,
,,,,,_setcontent,
,,,,,to_str,
,,,,,yyyyyyyy,
,,,,,getmethods,
,,,,,removecommand,
,,,,,refesh,
,,,,,restarted,
,,,,,colorpalette,
,,,,,weekend,
,,,,,showstructurestatusmessage,
,,,,,reqest,
,,,,,lob,
,,,,,getchunklist,
,,,,,subprocess,
,,,,,tuplizer-centric,
,,,,,iapplication,
,,,,,crconflictingcomposites,
,,,,,celldatapopup.cancel=cancel,
,,,,,sqlcommand,
,,,,,resized,
,,,,,module/singleton,
,,,,,uncategorized,
,,,,,forcereloaddata,
,,,,,mclassifierrole,
,,,,,opaquebehavior,
,,,,,belonging,
,,,,,isok,
,,,,,bounds.getwidth,
,,,,,editextras.errorremovequotes=error,
,,,,,severe,
,,,,,org.columba.core.gui.selection.selectionhandler,
,,,,,insert=,
,,,,,nagging,
,,,,,internedsymbol,
,,,,,.uml,
,,,,,samplers,
,,,,,windowclosing,
,,,,,textfigs,
,,,,,installation,
,,,,,downloadmirrorsthread,
,,,,,017f,
,,,,,sessionstartuptimehintdlg.dontshowagain=do,
,,,,,roster,
,,,,,getattribute,
,,,,,collection.isset,
,,,,,+tok.ranges.length,
,,,,,iter-based,
,,,,,majortickstroke,
,,,,,removeactionset,
,,,,,toolkit.getdefaulttoolkit,
,,,,,sub-string,
,,,,,'timestamp,
,,,,,linecomment,
,,,,,x-axis,
,,,,,symlinks,
,,,,,depart,
,,,,,todo.dtd,
,,,,,span_regexp,
,,,,,578,
,,,,,roll,
,,,,,jmeterguicomponent.modifytestelement,
,,,,,bookmars,
,,,,,10100,
,,,,,1323,
,,,,,genmodelfactoryimpl,
,,,,,mclassifier.class,
,,,,,appearanceoptionpane,
,,,,,iso-2022-cn,
,,,,,datatypetimestamp.full=full,
,,,,,clattributecompartment,
,,,,,0b80,
,,,,,multiplicityelement,
,,,,,c+p,
,,,,,getmarkposition,
,,,,,org.netbeans.api.xmi.xmireferenceprovider,
,,,,,unanticipated,
,,,,,framestack,
